weight_dvdl,dvdl,Run,Lambda
34.686510588000004,433.3647,1,3
33.520095672000004,418.7918,1,3
33.718714932,421.2733,1,3
31.892602332,398.4583,1,3
34.133906424,426.4606,1,3
32.945832684,411.6171,1,3
33.964717872,424.3468,1,3
31.827001548,397.6387,1,3
35.180757588,439.5397,1,3
35.700145152,446.0288,1,3
31.37956194,392.0485,1,3
30.582699708,382.0927,1,3
33.423439368000004,417.5842,1,3
33.003397452,412.3363,1,3
34.298508684000005,428.5171,1,3
31.720780464,396.3116,1,3
34.322768808,428.8202,1,3
32.88995676,410.919,1,3
33.802284696,422.3174,1,3
32.382487152,404.5788,1,3
32.345036436,404.1109,1,3
33.330713028,416.4257,1,3
32.114721336,401.2334,1,3
34.40623452,429.863,1,3
32.25323856,402.964,1,3
33.494650956,418.4739,1,3
33.801620364,422.3091,1,3
32.958927228,411.7807,1,3
32.577416568000004,407.0142,1,3
34.962064296,436.8074,1,3
33.94548426,424.1065,1,3
32.020434216,400.0554,1,3
33.542530884,419.0721,1,3
34.409668235999995,429.9059,1,3
32.953716624,411.7156,1,3
33.437806548,417.7637,1,3
32.64759564,407.891,1,3
32.23018704,402.676,1,3
31.872421386000003,313.7667,1,4
37.764874026,371.7747,1,4
32.030622078,315.3241,1,4
32.232949122,317.3159,1,4
